                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.76737,                0.65706,                 1.0724,                0.51751,                0.33333,                  0.566,                0.09272,                 2.7459,                 2.1023,                  2.868,             0.00022876,             0.00022876,             0.00022876
                     35,                0.68784,                0.59512,                 1.0164,                0.63977,                0.61287,                  0.665,                 0.1581,                 3.0662,                    1.8,                 3.1105,             0.00022222,             0.00022222,             0.00022222
                     36,                0.75182,                0.64716,                 1.1427,                0.63977,                0.61287,                  0.665,                 0.1581,                 3.0662,                    1.8,                 3.1105,              0.0002149,              0.0002149,              0.0002149
                     37,                0.98012,                0.77977,                 1.2345,                0.66614,                0.66561,                0.69643,                0.23113,                 2.9798,                 1.5622,                 3.0889,             0.00020678,             0.00020678,             0.00020678
                     38,                0.92183,                0.87058,                  1.125,                0.66614,                0.66561,                0.69643,                0.23113,                 2.9798,                 1.5622,                 3.0889,             0.00019788,             0.00019788,             0.00019788
                     39,                0.80715,                0.65237,                 1.2653,                0.74048,                0.96193,                   0.83,                0.23684,                 3.0111,                 1.3204,                 3.2117,             0.00018818,             0.00018818,             0.00018818
                     40,                0.80039,                 0.6117,                 1.0214,                0.74048,                0.96193,                   0.83,                0.23684,                 3.0111,                 1.3204,                 3.2117,             0.00017768,             0.00017768,             0.00017768
                     41,                 0.6709,                0.50711,                 1.0034,                0.65232,                0.66667,                0.57904,                0.18725,                 3.2827,                 1.0706,                 3.6477,              0.0001664,              0.0001664,              0.0001664
                     42,                0.63143,                0.53252,                0.99544,                0.65232,                0.66667,                0.57904,                0.18725,                 3.2827,                 1.0706,                 3.6477,             0.00015432,             0.00015432,             0.00015432
                     43,                0.63241,                0.51253,                 1.0742,                0.65048,                0.66667,                0.57604,                0.18605,                  3.318,                 1.0386,                  3.778,             0.00014146,             0.00014146,             0.00014146
                     44,                0.57572,                0.42512,                 0.9966,                0.65048,                0.66667,                0.57604,                0.18605,                  3.318,                 1.0386,                  3.778,              0.0001278,              0.0001278,              0.0001278
                     45,                0.47125,                0.43458,                0.87415,                0.64883,                0.66667,                 0.5748,                0.12808,                 3.4151,                 1.0577,                 3.9389,             0.00011334,             0.00011334,             0.00011334
                     46,                0.48419,                0.44101,                0.91477,                0.64883,                0.66667,                 0.5748,                0.12808,                 3.4151,                 1.0577,                 3.9389,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.46498,                0.38244,                0.97096,                0.64797,                0.66667,                 0.5737,                0.12775,                 3.4405,                 1.0756,                 4.0183,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.59042,                 0.4597,                0.95741,                0.64797,                0.66667,                 0.5737,                0.12775,                 3.4405,                 1.0756,                 4.0183,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.65488,                0.50651,                 1.0955,                0.64841,                0.66667,                0.57103,                0.12695,                 3.4298,                 1.0795,                 4.0711,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.58411,                0.46798,                0.89609,                0.64841,                0.66667,                0.57103,                0.12695,                 3.4298,                 1.0795,                 4.0711,             2.9204e-05,             2.9204e-05,             2.9204e-05
